[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_042428.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_053059.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_063803.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_074512.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_085213.csv
[INFO] Saved aggregated latency distribution to k6/grafana/2026-03-16/aggregated_094450Z/comparison/comparison_latency_distribution.png

================================================================================
AGGREGATED COMPARISON: Default HPA vs Context-Aware HPA
================================================================================
Metric                    Default HPA     Context-Aware HPA Diff         % Change  
--------------------------------------------------------------------------------
P50 Latency (ms)          505.69          387.15          -118.53      -23.44    %
P90 Latency (ms)          959.36          852.12          -107.24      -11.18    %
P95 Latency (ms)          1060.16         947.89          -112.27      -10.59    %
P99 Latency (ms)          1291.53         1164.12         -127.41      -9.87     %
Throughput (rps)          28.31           28.31           0.00         0.00      %
Failure Rate (%)          5.32            4.14            -1.18        -22.12    %
Requests / bucket         283.06          283.07          0.01         0.00      %
================================================================================

[INFO] Saved runs summary JSON to k6/grafana/2026-03-16/aggregated_094450Z/comparison/runs_summary.json
[INFO] Aggregation complete. Results in k6/grafana/2026-03-16/aggregated_094450Z/
  k6/grafana/2026-03-16/aggregated_094450Z/hpa1/  - averaged CSV + plots for Default HPA
